ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,Afghanistan,838.0007045,838.0007045,838.0007045,838.0007045,838.0007045,838.0007045,770.3091741,943.1787481,970.7162315,971.9265167,1075.795355,1121.003333,1287.275315,1336.544395,1575.332126,1771.451428,1749.936995,1994.535277,2138.75306,2229.679539,2289.371986,2217.296786,2338.778697,2436.00632,2589.410396,2568.341909,2138.870247,2092.879952
ALB,Albania,2665.557252,2979.826359,2717.144865,3021.034961,3471.667789,3861.308568,4300.836107,4751.821237,5000.309082,5427.796556,5865.238608,6566.490567,7284.887343,8228.131887,8812.604737,9626.664893,10207.16988,10525.72253,10570.41983,11258.45728,11658.04575,12078.34882,12769.76258,13497.24932,14617.78491,14436.48504,16261.80455,19492.7831
DZA,Algeria,7744.586616,8066.218263,8157.278361,8539.674948,8813.539568,9225.40608,9583.355952,10120.38855,10843.16846,11473.21364,12302.95813,12863.42786,13401.5508,13764.0093,13765.639,14332.81608,14784.03312,14590.78011,14527.21232,14862.79327,13973.68827,13608.20104,13674.87413,13916.3761,14084.19953,12848.76261,14690.91623,16028.28711
AND,Andorra,25324.27968,26474.13826,29129.7078,30163.14937,31616.42154,33249.56491,35824.80877,36409.42988,38686.47947,41269.13935,43234.77753,46481.20589,49755.33032,49225.3223,48301.58923,49486.34682,51184.55369,49232.9703,48054.99033,49938.67099,51035.8876,52847.30087,53031.66191,55354.3891,57573.69305,51881.28967,58829.85007,68311.77298
AGO,Angola,2654.634266,2968.839522,3133.453637,3210.303421,3221.132886,3286.358493,3388.524528,3783.142848,3839.854143,4224.139738,4836.226882,5364.965087,6057.77173,6616.768779,6471.347922,6587.408285,6700.1141,7351.760767,7566.423051,7999.826851,7127.339573,6850.384625,6998.796187,7353.349988,7533.511854,6455.119982,7414.278958,7928.641498
ATG,Antigua and Barbuda,14946.09707,15899.52892,16718.47536,17375.89622,17965.94374,19191.85603,18446.38929,18685.21447,19984.20445,21466.91459,23299.42613,26726.81194,29597.90138,29716.46981,25923.34712,23853.57958,23584.27145,22271.69515,21652.90333,21558.99977,20865.23391,21181.62741,21217.62926,24336.85486,26316.83322,22159.41229,25493.12955,29711.56332
ARG,Argentina,9925.995407,10532.74321,11445.45109,11881.29896,11508.15705,11544.40897,11160.5678,9991.382124,10975.12824,12163.78289,13515.22788,14898.19817,16513.15386,17341.2671,16249.88844,18066.49913,19322.22712,19629.89804,20108.2057,19649.35289,20058.33864,20248.72139,23514.66709,24498.37893,23535.01275,22302.15049,26086.80236,29037.48912
ARM,Armenia,1758.826921,1909.805397,2024.119936,2217.210565,2347.799582,2572.737937,2915.779191,3382.284391,3958.620003,4518.799711,5340.517179,6274.645062,7381.44096,8099.329355,7045.39936,7332.435561,7881.771735,9279.1754,9847.932251,10153.55561,10183.92793,11036.72229,12605.33796,13478.76279,15729.1497,15523.46539,16899.07092,20445.09888
AUS,Australia,21038.66679,22132.1929,23124.96391,24378.24531,25485.39145,26541.66532,27645.81403,29032.49096,30121.81842,31763.79609,33036.58348,34846.71563,36653.84172,37532.99904,40312.39512,39374.6321,42025.46458,42866.60433,45936.04931,46914.38671,46292.09544,47289.28591,48418.55842,50251.33534,52746.71829,54064.07947,57406.17876,65365.94851
AUT,Austria,23681.21233,24552.02648,25422.02329,26674.8408,27606.48303,29379.7423,29711.58386,31178.69333,32146.01529,33774.78739,35013.71404,37661.92242,39439.6039,41316.22518,40916.91974,42002.15714,44452.73275,46457.34578,47922.04912,48799.71547,49865.90394,52684.01711,54172.98679,56937.94428,60574.6271,58610.83436,63421.20359,70975.72063
AZE,Azerbaijan,2317.792799,2366.839809,2522.84373,2779.806987,3001.305343,3382.083087,3771.270579,4160.216167,4640.134373,5160.472625,6741.200965,9244.406455,11734.76419,12972.44271,13972.73091,14680.87414,14804.57445,15994.14665,17267.51189,17563.61225,15075.27263,14535.80202,14315.92964,15282.99952,16675.31794,15163.57033,20111.3757,22533.49406
