ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,Afghanistan,0.309357467,0.309356647,0.311054383,0.312752162,0.311233058,0.309714554,0.31590257,0.3221069,0.325739889,0.321417777,0.268686922,0.234549075,0.228406175,0.222309237,0.222489592,0.221522091,0.211899619,0.227326382,0.229081439,0.245571497,0.244570882,0.255770063,0.246029862,0.241010608,0.248741123,0.237494551,0.247010486,0.250170592
ALB,Albania,0.333185966,0.333750662,0.330339282,0.326430692,0.327659148,0.328646845,0.334580326,0.340816531,0.338947414,0.347197531,0.336162101,0.323886903,0.336992045,0.350108756,0.370361513,0.371603712,0.370484429,0.377778421,0.390705632,0.41439624,0.419362854,0.413485079,0.414570437,0.416876485,0.410337698,0.41051982,0.415554363,0.421475226
DZA,Algeria,0.300507264,0.301637545,0.298161339,0.294991705,0.298912377,0.302998239,0.309000679,0.315359751,0.32074735,0.329537968,0.330455731,0.297265816,0.297477329,0.30044067,0.293300562,0.282221511,0.275526206,0.275895596,0.288822662,0.286183387,0.290977146,0.300840096,0.323634146,0.324980497,0.325884378,0.32831236,0.332142729,0.337639984
AND,Andorra,0.12289023,0.126098132,0.129677086,0.136493795,0.141061489,0.145331142,0.148170371,0.148863478,0.160754386,0.176119625,0.191590215,0.211882501,0.241196911,0.24864164,0.262798331,0.270970568,0.275343021,0.279292678,0.285358113,0.285908434,0.291700495,0.298304111,0.302246481,0.303512849,0.34324513,0.350236958,0.35209519,0.397004792
AGO,Angola,0.190139265,0.190138787,0.188786902,0.187430634,0.188144381,0.18891565,0.19685046,0.20480772,0.217630267,0.217220088,0.208659621,0.186516487,0.189483191,0.19623593,0.203915058,0.189723493,0.18781437,0.200504178,0.209312294,0.216402585,0.211777056,0.239973526,0.242696464,0.254305319,0.257704777,0.260157018,0.266714008,0.270459219
ATG,Antigua and Barbuda,0.457270268,0.457783919,0.458588647,0.459371235,0.460625033,0.462766273,0.463583948,0.466756797,0.470105524,0.471185941,0.48475698,0.463616901,0.466732754,0.47415303,0.47672772,0.487170459,0.48078276,0.489363988,0.483123348,0.457540702,0.464268451,0.457376894,0.438820192,0.451555912,0.453211329,0.451754052,0.448117282,0.449569467
ARG,Argentina,0.382313209,0.385285313,0.379622807,0.375364078,0.375737262,0.377439898,0.350960436,0.332445149,0.342285529,0.34571529,0.368175246,0.344259137,0.355768701,0.348962181,0.345288411,0.353880511,0.357222254,0.351446083,0.340572044,0.332769622,0.335900456,0.37223934,0.376074105,0.379087948,0.376781771,0.381977892,0.376861178,0.37582632
ARM,Armenia,0.377558922,0.373510332,0.365635109,0.374135856,0.380407417,0.382935949,0.391268816,0.409177751,0.421604397,0.409100027,0.432076093,0.414721795,0.422382796,0.440638273,0.429615814,0.430811706,0.430932843,0.440857639,0.45673852,0.470756779,0.478555182,0.489311126,0.487574368,0.499079328,0.510610348,0.504434595,0.504011207,0.501353573
AUS,Australia,0.586235987,0.589630037,0.591715177,0.595821993,0.602889904,0.611086937,0.616697262,0.619514731,0.624422637,0.633602617,0.638569235,0.682435602,0.68962744,0.69764761,0.689414122,0.696457701,0.700222452,0.703723205,0.714300167,0.715788781,0.712159488,0.711084836,0.696643989,0.700983122,0.699044908,0.686581182,0.699247103,0.696994032
AUT,Austria,0.604970369,0.611505095,0.613075043,0.614049978,0.618109777,0.621912432,0.630363563,0.636964695,0.63436836,0.64039417,0.649697579,0.679618458,0.691132045,0.688329485,0.671798633,0.678966257,0.679493924,0.68473662,0.699588068,0.712948429,0.708937771,0.692095287,0.695271262,0.695418506,0.690671927,0.686400454,0.684133576,0.678961147
AZE,Azerbaijan,0.316554066,0.3142224,0.319474944,0.32474102,0.326493381,0.32796652,0.330260077,0.367299766,0.373647565,0.377490586,0.384093221,0.337488657,0.341087651,0.338533059,0.374664564,0.364756642,0.367480184,0.362062056,0.383159067,0.409013282,0.417000565,0.437073168,0.426185233,0.428040446,0.448320655,0.434419968,0.448620643,0.444347915
